Entry	Entry Name	Organism	Length	Gene Ontology (GO)
Q90486	HBB1_DANRE	Danio rerio (Zebrafish) (Brachydanio rerio)	148	haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; heme binding [GO:0020037]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; erythrocyte development [GO:0048821]; hemopoiesis [GO:0030097]; oxygen transport [GO:0015671]; response to hypoxia [GO:0001666]
B2KHZ4	HBB_RHIFE	Rhinolophus ferrumequinum (Greater horseshoe bat)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
C0HJE1	HBB_PALPA	Paleosuchus palpebrosus (Cuvier's smooth-fronted caiman) (Dwarf caiman)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
C0HJT6	HBB1_DISEL	Dissostichus eleginoides (Patagonian toothfish) (Dissostichus amissus)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
C0HJT7	HBB2_DISEL	Dissostichus eleginoides (Patagonian toothfish) (Dissostichus amissus)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
C0HJZ3	HBB1_SOMMI	Somniosus microcephalus (Greenland sleeper shark) (Squalus microcephalus)	128	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
C0HJZ4	HBB2_SOMMI	Somniosus microcephalus (Greenland sleeper shark) (Squalus microcephalus)	135	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
C0HJZ5	HBB3_SOMMI	Somniosus microcephalus (Greenland sleeper shark) (Squalus microcephalus)	135	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
K7N5M6	HBB1_ELEMC	Eleginops maclovinus (Patagonian blennie) (Eleginus maclovinus)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
O09232	HBB_MELAE	Melanogrammus aeglefinus (Haddock) (Gadus aeglefinus)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
O13077	HBB_GADMO	Gadus morhua (Atlantic cod)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
O13078	HBB_MERMR	Merlangius merlangus (Whiting) (Gadus merlangus)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
O13163	HBB_SILAS	Silurus asotus (Amur catfish) (Parasilurus asotus)	148	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
O13164	HBB_DECMA	Decapterus maruadsi (Japanese scad) (Caranx maruadsi)	148	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
O93349	HBB2_TRENE	Trematomus newnesi (Dusky notothen)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
O93351	HBB_TREHA	Trematomus hansoni (Striped rockcod) (Notothenia hansoni)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02025	HBB_HYLLA	Hylobates lar (Lar gibbon) (White-handed gibbon)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02026	HBB_MACMU	Macaca mulatta (Rhesus macaque)	146	haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; erythrocyte development [GO:0048821]; oxygen transport [GO:0015671]
P02028	HBB_CHLAE	Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02029	HBB_THEGE	Theropithecus gelada (Gelada baboon)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02030	HBB_PAPCY	Papio cynocephalus (Yellow baboon)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02031	HBB_CERAT	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02032	HBB_SEMEN	Semnopithecus entellus (Northern plains gray langur) (Presbytis entellus)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02033	HBB_PILBA	Piliocolobus badius (Western red colobus) (Procolobus badius)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02035	HBB_AOTTR	Aotus trivirgatus (Three-striped night monkey) (Douroucouli)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02038	HBB_SAGMY	Saguinus mystax (Moustached tamarin)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02039	HBB_LEOFU	Leontocebus fuscicollis (Brown-mantled tamarin) (Saguinus fuscicollis)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02040	HBB_CEBAL	Cebus albifrons (White-fronted capuchin)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02048	HBB_LORTA	Loris tardigradus (Slender loris)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02049	HBB_NYCCO	Nycticebus coucang (Malaysian slow loris) (Tardigradus coucang)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02051	HBB_CEPBA	Cephalopachus bancanus (Western tarsier) (Tarsius bancanus)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02052	HBB_TUPGL	Tupaia glis (Common tree shrew) (Sorex glis)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02054	HBB_LEMCA	Lemur catta (Ring-tailed lemur)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02055	HBB_MELME	Meles meles (Eurasian badger)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02058	HBB_ROUAE	Rousettus aegyptiacus (Egyptian fruit bat) (Pteropus aegyptiacus)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02059	HBB_ERIEU	Erinaceus europaeus (Western European hedgehog)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02060	HBB_SUNMU	Suncus murinus (Asian house shrew) (Musk shrew)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02061	HBB_TALEU	Talpa europaea (European mole)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02062	HBB_HORSE	Equus caballus (Horse)	146	haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; erythrocyte development [GO:0048821]; oxygen transport [GO:0015671]
P02064	HBB1_TAPTE	Tapirus terrestris (Lowland tapir) (Brazilian tapir)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02065	HBB2_TAPTE	Tapirus terrestris (Lowland tapir) (Brazilian tapir)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02073	HBB_ALCAA	Alces alces alces (European moose) (Elk)	145	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02076	HBB_OVIMU	Ovis aries musimon (Mouflon)	145	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02078	HBBC_CAPHI	Capra hircus (Goat)	142	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02080	HBBN_AMMLE	Ammotragus lervia (Barbary sheep) (Antilope lervia)	141	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02084	HBB_ELEMA	Elephas maximus (Indian elephant)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02085	HBB_LOXAF	Loxodonta africana (African elephant)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02090	HBB_SPAEH	Spalax ehrenbergi (Middle East blind mole rat) (Nannospalax ehrenbergi)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02092	HBB_MICXA	Microtus xanthognathus (Yellow-cheeked vole) (Taiga vole)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02093	HBB_ONDZI	Ondatra zibethicus (Muskrat)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02095	HBB_CAVPO	Cavia porcellus (Guinea pig)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02106	HBB_MACGI	Macropus giganteus (Eastern gray kangaroo)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02107	HBB_OSPRU	Osphranter rufus (Red kangaroo) (Macropus rufus)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02108	HBB_POTTR	Potorous tridactylus (Potoroo)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02111	HBB_ORNAN	Ornithorhynchus anatinus (Duckbill platypus)	146	haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; heme binding [GO:0020037]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; erythrocyte development [GO:0048821]; oxygen transport [GO:0015671]
P02113	HBB_PHACO	Phasianus colchicus colchicus (Black-necked pheasant)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02115	HBB_ANAPP	Anas platyrhynchos platyrhynchos (Northern mallard)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02116	HBB_ARAAR	Ara ararauna (Blue-and-yellow macaw)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02117	HBB_ANSAN	Anser anser anser (Western greylag goose)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02118	HBB_ANSIN	Anser indicus (Bar-headed goose) (Anas indica)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02120	HBB_ANSSE	Anseranas semipalmata (Magpie goose) (Anas semipalmata)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02121	HBB_PHORB	Phoenicopterus ruber (American flamingo) (Caribbean flamingo)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
